premise,hypothesis,label
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcycle with a child.,0
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his car with his son.,2
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is with a Chinese spear.,0
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching the man with a Japanese spear.,2
A woman wearing a green shirt stands on the railroad tracks.,The woman is wearing a green shirt.,0
A woman wearing a green shirt stands on the railroad tracks.,The woman is not standing on the railroad tracks.,2
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to a man.,2
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to a family member.,1
Students are inside of a lecture hall.,Students are on the soccer field.,2
Students are inside of a lecture hall.,Students are inside of the science lecture hall.,1
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a silk dress.,1
A woman in a red polka-dot dress sings into a mic.,A woman is wearing pants.,2
Men playing a game in the park.,Some men are playing a game.,0
Men playing a game in the park.,Some women are playing a game.,2
Three children are playing together in some water.,Four adults are playing in sand.,2
Three children are playing together in some water.,Three smart children are playing in water.,1
A woman and a young child are making sculptures out of clay.,A child and woman with clay.,0
A woman and a young child are making sculptures out of clay.,A boy and woman make something.,1
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is pouring orange juice outside a tent.,1
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is pouring outside a tent.,0
A football player wearing a number ten jersey is catching a football with both hands.,A sports player is catching a baseball.,2
A football player wearing a number ten jersey is catching a football with both hands.,A sports player is catching a football.,0
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone walks away.,1
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",The back of someone in boots.,0
Some kids wearing white and red are playing soccer.,Children are wearing their black uniform,2
Some kids wearing white and red are playing soccer.,Children are wearing their white and red clothes,0
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is a professional dancer.,1
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is about to dance.,0
Three people trudge through the snow wearing snowshoes and using walking sticks.,Six people are in mud,2
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three people are in snow,0
Recked ambulance being towed by a large tow truck.,The ambulance was towed.,0
Recked ambulance being towed by a large tow truck.,The white ambulance was towed.,1
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building nothing at the beach,2
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is being forced to build a sand castle at the beach,1
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are smiling.,2
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are frowning.,0
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two horse racing jockeys are racing against a blurry background.,0
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Several horse racing jockeys are racing against a blurry background,1
Several man in black tops play the guitar.,People are playing rock music.,1
Several man in black tops play the guitar.,People are playing baseball.,2
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing without any instruments.,2
A group of young adults come together to perform song complete with drums and a guitar.,A group of young adults is  performing.,0
A person wearing a white helmet races in a black race car.,A person wearing a helmet races in a new race car.,1
A person wearing a white helmet races in a black race car.,A person wearing a white helmet races in their car.,0
Two brown dog grapple each other in a sandy area.,Two dogs are playing with each other somewhere.,1
Two brown dog grapple each other in a sandy area.,Two dogs are playing indoors.,2
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,The woman is waiting for the bus.,1
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,The woman is wearing a red hat.,0
A nude woman submerges herself in a natural pool.,The naked woman fell into the pool on accident.,1
A nude woman submerges herself in a natural pool.,A woman skinny dips in the pool.,0
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is studying a painting of a mountain scene.,2
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is studying a painting of a street scene.,0
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a ball.,2
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee to his friend.,1
A musician holding a guitar videotapes some action.,A woman is holding a guitar.,1
A musician holding a guitar videotapes some action.,A person is holding a guitar.,0
Children ride a balloon ride in an amusement park.,Kids are inside their homes,2
Children ride a balloon ride in an amusement park.,Kids are on expensive amusement park rides,1
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young kid wears sandals and walks on hopscotch numbers.,0
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears shoes and walks on hopscotch numbers.,2
A wolf moves over the snow.,The wolf is stationary.,2
A wolf moves over the snow.,The wolf is moving.,0
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is getting adjusted by a pro.,1
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is getting adjusted.,0
A soccer player in green runs down the field.,The player in green is playing a violin.,2
A soccer player in green runs down the field.,The player in green is throwing a ball across a field.,1
A man holding the Texas flag is nearly blown off his feet on a city street.,The latino man is holding the flag.,1
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is holding the Texas flag.,0
People on stilts in a parade.,A child is performing in a play.,2
People on stilts in a parade.,Some fat people are performing in a parade.,1
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together celebrating their anniversary.,1
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is swimming together.,2
Bearded man playing the bass.,A man with a beard is playing the bass.,0
