premise,hypothesis,label
A man is riding a motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,0
A man is riding a blue truck with a small child sitting in front of him.,A man rides his motorcyle with his won.,2
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while another woman watches.,The woman is watching.,0
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while the men watch.,The woman is watching.,2
A railroad employee wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,0
A woman wearing a green shirt stands on the railroad tracks and waves on the railroad employee in the booth. ,A railroad employee stands on the train tracks.,2
A blond man speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,2
A blond woman speaking to another person with their arms crossed.,A woman is talking to another woman.,1
Students are outside for a lecture hall.,Students are indoors.,2
Students are attending a lecture.,Students are indoors.,1
A man in a pink polka-dot dress sings into a mic.,A woman is wearing a dress.,2
A tall woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,1
Men playing a game at the park.,some men play for money,0
All men playing a game at the park for free.,some men play for money,2
Children are playing together in some water.,Three children are playing in water.,1
Three children are playing together at the park.,Three children are playing in water.,2
A woman and a young child are doing art.,A man and woman painting on canvas.,1
A woman and her son are painting on a canvas,A man and woman painting on canvas.,0
A man not wearing a shirt is pouring something out a can in front of a tent.,A man is walking down the trail.,1
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a tent.,A man is walking down the trail.,0
A football player wearing a number ten jersey is catching a football with one hand.,A huge player,2
A giant player wearing a number ten jersey is catching a football with one hand.,A huge player,0
"The back of a woman wearing blue jeans, sandals, and a shirt.",Someone in sandals walks away.,0
"The back of a woman wearing blue jeans, and a shirt.",Someone in sandals walks away.,1
A few kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,0
A few kids wearing white and red are playing rugby.,Children are wearing their soccer uniform,2
A young lady is dressed in a top with black leotards and is in a dance pose after being exhausted from weightlifting.,The young lady is taking a break from exercising,0
A young lady is dressed in a top with black leotards.,The young lady is taking a break from exercising,1
Three people trudge through the snow to reach the city after emerging from a crashed airplane.,Three crash survivors trying to reach civilization,0
Four people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,2
Recked vehicle being towed by a large tow truck.,The firetruck was towed.,1
Recked firetruck being towed by a large tow truck.,The firetruck was towed.,0
A man in a blue shirt is building a bank at the beach.,A man in a blue shirt is building a sand castle at the beach,2
A man in a blue shirt is at the beach.,A man in a blue shirt is building a sand castle at the beach,1
An older man and woman sitting on a cement bench with frowns on their faces are arguing about their kids.,The man and woman are arguing about money,2
An older man and woman sitting on a cement bench with frowns on their faces are arguing about money.,The man and woman are arguing about money,0
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two rodeo clowns are riding old sad-looking ponies. ",Two rodeo clowns riding old sad-looking ponies,0
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two people were riding ponies near them.",Two rodeo clowns riding old sad-looking ponies,1
Several man in black tops have guitars.,People are playing music.,1
Several man in black tops sit silently.,People are playing music.,2
A musical group of young adults come together on stage to perform song complete with drums and a guitar.,A band is on stage performing.,0
A person performs song in the subway.,A band is on stage performing.,2
A person wearing a black helmet races in a black race car.,A person wearing a black helmet races in their car.,0
A person wearing a dark helmet races in a black race car.,A person wearing a black helmet races in their car.,1
Two brown dog play with each other inside.,Two dogs are playing outside.,2
Two brown dog grapple each other.,Two dogs are playing outside.,1
