premise,hypothesis,label
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,1
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,1
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,1
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,0
Students are inside of a lecture hall.,Students are indoors.,0
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,0
Men playing a game in the park.,some men play for money,1
Three children are playing together in some water.,Three children are playing in water.,0
A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,2
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,2
A football player wearing a number ten jersey is catching a football with both hands.,A huge player,1
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,2
Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,1
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,2
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,1
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,2
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,0
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,1
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,2
Several man in black tops play the guitar.,People are playing music.,0
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,1
A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,2
Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,0
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,2
A nude woman submerges herself in a natural pool.,A man jumps in the river.,2
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,1
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,0
A musician holding a guitar videotapes some action.,A woman is playing the piano.,2
Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,0
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,1
A wolf moves over the snow.,The wolf is old.,1
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,2
A soccer player in green runs down the field.,The player in green is plaing a sport.,0
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,2
People on stilts in a parade.,Some people are performing in a parade.,0
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,0
Bearded man playing the bass.,A man with a mustache is playing the piano.,2
