premise,hypothesis,label
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,1
A man is riding a motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,0
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his car with his son.,2
A man is riding a blue truck with a small child sitting in front of him.,A man rides his motorcyle with his won.,2
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcycle with a child.,0
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,1
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is with a Chinese spear.,0
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while the men watch.,The woman is watching.,2
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while another woman watches.,The woman is watching.,0
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching the man with a Japanese spear.,2
A woman wearing a green shirt stands on the railroad tracks.,The woman is wearing a green shirt.,0
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,1
A railroad employee wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,0
A woman wearing a green shirt stands on the railroad tracks and waves on the railroad employee in the booth. ,A railroad employee stands on the train tracks.,2
A woman wearing a green shirt stands on the railroad tracks.,The woman is not standing on the railroad tracks.,2
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,0
A blond man speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,2
A blond woman speaking to another person with their arms crossed.,A woman is talking to another woman.,1
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to a family member.,1
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to a man.,2
Students are outside for a lecture hall.,Students are indoors.,2
Students are inside of a lecture hall.,Students are on the soccer field.,2
Students are inside of a lecture hall.,Students are inside of the science lecture hall.,1
Students are attending a lecture.,Students are indoors.,1
Students are inside of a lecture hall.,Students are indoors.,0
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,0
A man in a pink polka-dot dress sings into a mic.,A woman is wearing a dress.,2
A tall woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,1
